"Station","Latitude","Longitude","ShipSpeed","TimeOnStation","Arrival","Departure","Distance","TravelTime","Operations"
"Guam",13.4333,144.6667,0,0,"2024-12-29T03:00","2024-12-29T03:00",0,0,"HOME PORT"
"STN 0",13.245,144.425,6.3,2,"2024-12-29T05:52","2024-12-29T07:52",18.0673567464717,172.070064252111,"CTD to 200 m, Zooplankton net tow to 600 m"
"Pt 0",10.702,147.846,10.8,0,"2024-12-30T07:12","2024-12-30T07:12",252.070304980368,1400.39058322427,"turn"
"STN 1",10.3242,148.2926,8,1,"2024-12-30T11:32","2024-12-30T12:32",34.7262455052503,260.446841289377,"CTD to 200 m"
"Pt2",10.0079,148.301,4.1,0,"2024-12-30T17:09","2024-12-30T17:09",18.8972437453696,276.545030420043,"turn"
"Pt3",9.9175,148.5013,7.2,0,"2024-12-30T18:58","2024-12-30T18:58",13.0303476084961,108.586230070801,"turn"
"Pt4",9.8435,148.4637,4,0,"2024-12-30T20:12","2024-12-30T20:12",4.94877737247216,74.2316605870824,"turn"
"STN 2",9.9175,148.301,3.7,0.5,"2024-12-30T23:04","2024-12-30T23:34",10.6006298746968,171.902106076164,"CTD to 200 m"
"Pt6",9.5843,148.3928,3.8,0,"2024-12-31T04:59","2024-12-31T04:59",20.6293811602259,325.727070950935,"turn"
"Pt7",9.6008,148.167,7.4,0,"2024-12-31T06:48","2024-12-31T06:48",13.4200216445619,108.810986307258,"turn"
"Pt8",9.5349,148.13,6.2,0,"2024-12-31T07:32","2024-12-31T07:32",4.50553828396981,43.6019833932563,"turn"
"Pt9",9.5226,148.3677,6.7,0,"2024-12-31T09:38","2024-12-31T09:38",14.1108987060976,126.36625706953,"turn"
"Pt10",9.4238,148.3427,4,0,"2024-12-31T11:09","2024-12-31T11:09",6.08384080043131,91.2576120064697,"turn"
"Pt11",9.4567,148.1,8,0,"2024-12-31T12:58","2024-12-31T12:58",14.5253781489527,108.940336117146,"turn"
"Pt12",9.3991,148.084,4.3,0,"2024-12-31T13:48","2024-12-31T13:48",3.56840850989436,49.7917466496888,"turn"
"Pt13",9.3579,148.301,3.9,0,"2024-12-31T17:10","2024-12-31T17:10",13.1032617360722,201.588642093419,"turn"
"Pt13b",9.259,148.401,4.4,0,"2024-12-31T19:04","2024-12-31T19:04",8.37113789049122,114.15188032488,"turn"
"Pt13c",9.222,148.347,4.2,0,"2024-12-31T20:00","2024-12-31T20:00",3.89205305178721,55.6007578826744,"turn"
"Pt14",9.3126,148.2676,8,0,"2024-12-31T20:53","2024-12-31T20:53",7.17399507604028,53.8049630703021,"turn"
"Pt15",9.329,148.042,8,0,"2024-12-31T22:34","2024-12-31T22:34",13.4182316662565,100.636737496924,"turn"
"STN 3",9.255,148.046,4.1,1.5,"2024-12-31T23:39","2025-01-01T01:09",4.42571775959393,64.7666013599112,"CTD to 200 m, Zooplankton net tow to 200 m"
